ID do estudante,Nota Corte Grupo Preferência,Código do curso,Média nota Enem,Situação Inscrição Fies,defacto_cutoff
201869435,584.72,106636,517.9,PARTICIPACAO CANCELADA PELO CANDIDATO,469.46
201869435,584.72,114504,517.9,PARTICIPACAO CANCELADA PELO CANDIDATO,469.46
201869435,584.72,114504,517.9,PARTICIPACAO CANCELADA PELO CANDIDATO,469.46
201869436,547.46,1304835,583.14,PARTICIPACAO CANCELADA PELO CANDIDATO,516.48
201869436,547.46,1304835,583.14,PARTICIPACAO CANCELADA PELO CANDIDATO,516.48
201869438,568.44,1364783,489.02,LISTA DE ESPERA,545.96
201869438,568.44,47706,489.02,LISTA DE ESPERA,545.96
201869438,568.44,75106,489.02,LISTA DE ESPERA,545.96
201869439,530.56,1258515,503.04,NÃO CONTRATADO,453.62
201869439,530.56,65205,503.04,NÃO CONTRATADO,453.62
201869439,530.56,65205,503.04,NÃO CONTRATADO,453.62
201869440,561.96,4726,644.28,CONTRATADA,550.64
201869440,561.96,4725,644.28,OPÇÃO NÃO CONTRATADA,550.64
201869440,561.96,4726,644.28,OPÇÃO NÃO CONTRATADA,550.64
201869441,640.9,963,530.06,LISTA DE ESPERA,471.64
201869441,640.9,963,530.06,LISTA DE ESPERA,471.64
201869441,640.9,963,530.06,LISTA DE ESPERA,471.64
201869442,731.88,49060,577.46,LISTA DE ESPERA,718.98
201869443,454.46,1258985,481.8,NÃO CONTRATADO,454.46
201869444,656.14,90657,530.32,LISTA DE ESPERA,556.76
201869445,552.22,70338,488.02,CONTRATADA,451.4
201869445,552.22,1192256,488.02,OPÇÃO NÃO CONTRATADA,451.4
201869445,552.22,70338,488.02,OPÇÃO NÃO CONTRATADA,451.4
201869446,743.84,1399617,728.5,LISTA DE ESPERA,732.32
201869447,581.72,34213,589.06,LISTA DE ESPERA,493.76
201869447,581.72,34213,589.06,LISTA DE ESPERA,493.76
201869447,581.72,1387052,589.06,LISTA DE ESPERA,493.76
201869448,631.38,1304684,464.02,LISTA DE ESPERA,535.78
201869448,631.38,11731,464.02,LISTA DE ESPERA,535.78
201869448,631.38,1365601,464.02,LISTA DE ESPERA,535.78
201869449,580.76,1330937,525.86,LISTA DE ESPERA,561.62
201869453,574.84,1206060,456.84,NÃO CONTRATADO,456.22
201869453,574.84,68949,456.84,NÃO CONTRATADO,456.22
201869453,574.84,1191638,456.84,NÃO CONTRATADO,456.22
201869455,560.16,1260387,513.32,LISTA DE ESPERA,533.82
201869455,560.16,1397952,513.32,LISTA DE ESPERA,533.82
201869455,560.16,1321969,513.32,LISTA DE ESPERA,533.82
201869456,587.42,1167967,533.72,LISTA DE ESPERA,560.18
201869456,587.42,1167959,533.72,LISTA DE ESPERA,560.18
201869457,548.12,82227,502.48,NÃO CONTRATADO,450.16
201869458,605.68,16817,475.94,CONTRATADA,451.14
201869458,605.68,66080,475.94,OPÇÃO NÃO CONTRATADA,451.14
201869458,605.68,17594,475.94,OPÇÃO NÃO CONTRATADA,451.14
201869459,577.54,24108,555.1,NÃO CONTRATADO,463.22
201869459,577.54,24108,555.1,NÃO CONTRATADO,463.22
201869460,587.82,1322201,575.04,CONTRATADA,530.26
201869461,733.4,8698,677.38,LISTA DE ESPERA,720.56
201869462,616.5,1204273,594.12,NÃO CONTRATADO,579.14
201869462,616.5,101504,594.12,NÃO CONTRATADO,579.14
201869462,616.5,1204273,594.12,NÃO CONTRATADO,579.14
201869463,561.68,67957,508.56,CONTRATADA,451.78
201869464,726.62,1184432,733.12,CONTRATADA,724.14
201869465,608.92,109714,477.4,LISTA DE ESPERA,573.04
201869465,608.92,7623,477.4,LISTA DE ESPERA,573.04
201869465,608.92,67168,477.4,LISTA DE ESPERA,573.04
201869466,606.76,17288,497.02,NÃO CONTRATADO,452.58
201869466,606.76,17288,497.02,NÃO CONTRATADO,452.58
201869466,606.76,77636,497.02,NÃO CONTRATADO,452.58
201869467,543.3,1304746,454.3,NÃO CONTRATADO,451.76
201869467,543.3,97323,454.3,NÃO CONTRATADO,451.76
201869467,543.3,97323,454.3,NÃO CONTRATADO,451.76
201869470,656.14,8101,454.58,LISTA DE ESPERA,556.76
201869470,656.14,56748,454.58,LISTA DE ESPERA,556.76
201869470,656.14,5000863,454.58,LISTA DE ESPERA,556.76
201869471,737.26,1408262,602.42,LISTA DE ESPERA,715.68
201869471,737.26,1399478,602.42,LISTA DE ESPERA,715.68
201869472,556.96,51178,510.58,NÃO CONTRATADO,454.56
201869472,556.96,17296,510.58,NÃO CONTRATADO,454.56
201869472,556.96,1288730,510.58,NÃO CONTRATADO,454.56
201869473,553.64,71475,592.46,CONTRATADA,460.04
201869473,553.64,59754,592.46,OPÇÃO NÃO CONTRATADA,460.04
201869473,553.64,90939,592.46,OPÇÃO NÃO CONTRATADA,460.04
201869475,552.04,1177725,493.3,NÃO CONTRATADO,452.56
201869475,552.04,108723,493.3,NÃO CONTRATADO,452.56
201869475,552.04,73414,493.3,NÃO CONTRATADO,452.56
201869477,603.16,1259203,451.76,PARTICIPACAO CANCELADA PELO CANDIDATO,451.72
201869477,603.16,99849,451.76,PARTICIPACAO CANCELADA PELO CANDIDATO,451.72
201869477,603.16,1259204,451.76,PARTICIPACAO CANCELADA PELO CANDIDATO,451.72
201869480,636.04,54830,604.96,LISTA DE ESPERA,552.58
201869481,518.98,1111448,531.04,NÃO CONTRATADO,460.12
201869482,620.6,1383118,562.68,LISTA DE ESPERA,529.34
201869482,620.6,1077555,562.68,LISTA DE ESPERA,529.34
201869483,547.16,58360,532.02,NÃO CONTRATADO,460.9
201869485,763.86,5000933,763.62,CONTRATADA,733.1
201869485,763.86,19850,763.62,OPÇÃO NÃO CONTRATADA,733.1
201869485,763.86,1109361,763.62,OPÇÃO NÃO CONTRATADA,733.1
201869487,555.72,1206349,502.92,PARTICIPACAO CANCELADA PELO CANDIDATO,452.62
201869487,555.72,37781,502.92,PARTICIPACAO CANCELADA PELO CANDIDATO,452.62
201869487,555.72,110754,502.92,PARTICIPACAO CANCELADA PELO CANDIDATO,452.62
201869488,564.5,18450,493.88,NÃO CONTRATADO,450.06
201869488,564.5,69819,493.88,NÃO CONTRATADO,450.06
201869489,483.1,86606,528.82,CONTRATADA,450.08
201869489,483.1,1364401,528.82,OPÇÃO NÃO CONTRATADA,450.08
201869489,483.1,1330330,528.82,OPÇÃO NÃO CONTRATADA,450.08
201869490,490.06,1202696,514.08,NÃO CONTRATADO,450.32
201869490,490.06,1202696,514.08,NÃO CONTRATADO,450.32
201869492,580.2,1157246,633.74,NÃO CONTRATADO,455.9
201869492,580.2,1157246,633.74,NÃO CONTRATADO,455.9
201869492,580.2,1157246,633.74,NÃO CONTRATADO,455.9
201869493,618.82,106742,531.48,LISTA DE ESPERA,572.68
201869493,618.82,1185135,531.48,LISTA DE ESPERA,572.68
201869493,618.82,48942,531.48,LISTA DE ESPERA,572.68
201869494,763.86,19850,645.88,LISTA DE ESPERA,733.1
201869494,763.86,1109361,645.88,LISTA DE ESPERA,733.1
201869494,763.86,5000933,645.88,LISTA DE ESPERA,733.1
201869495,544.48,79036,517.48,LISTA DE ESPERA,529.34
201869495,544.48,66121,517.48,LISTA DE ESPERA,529.34
201869495,544.48,110844,517.48,LISTA DE ESPERA,529.34
201869496,721.48,1193275,722.74,PARTICIPACAO CANCELADA PELO CANDIDATO,714.02
201869498,589.6,66254,534.94,CONTRATADA,450.66
201869498,589.6,66254,534.94,OPÇÃO NÃO CONTRATADA,450.66
201869499,631.6,7276,556.16,LISTA DE ESPERA,512.22
201869499,631.6,69817,556.16,LISTA DE ESPERA,512.22
201869500,581.36,24932,511.8,PARTICIPACAO CANCELADA PELO CANDIDATO,454.12
201869500,581.36,28560,511.8,PARTICIPACAO CANCELADA PELO CANDIDATO,454.12
201869500,581.36,73108,511.8,PARTICIPACAO CANCELADA PELO CANDIDATO,454.12
201869501,733.8,1421013,673.26,LISTA DE ESPERA,724.06
201869502,753.94,9772,661.8,LISTA DE ESPERA,729.74
201869502,753.94,75821,661.8,LISTA DE ESPERA,729.74
201869502,753.94,18605,661.8,LISTA DE ESPERA,729.74
201869503,568.7,32822,529.6,CONTRATADA,457.16
201869503,568.7,49111,529.6,OPÇÃO NÃO CONTRATADA,457.16
201869506,560.82,1286465,545.04,NÃO CONTRATADO,454.56
201869506,560.82,1156472,545.04,NÃO CONTRATADO,454.56
201869506,560.82,1286465,545.04,NÃO CONTRATADO,454.56
201869507,555.22,1355582,556.22,NÃO CONTRATADO,529.3
201869507,555.22,1486922,556.22,NÃO CONTRATADO,529.3
201869507,555.22,1416600,556.22,NÃO CONTRATADO,529.3
201869509,587.42,1156001,568.04,NÃO CONTRATADO,560.18
201869511,614.72,1331012,594.9,NÃO CONTRATADO,456.62
201869511,614.72,117951,594.9,NÃO CONTRATADO,456.62
201869512,622.5,1398191,555.56,LISTA DE ESPERA,585.32
201869513,486.34,1365964,503.88,CONTRATADA,486.34
201869516,558.62,98350,565.4,NÃO CONTRATADO,558.62
201869517,604.16,1383181,516.74,LISTA DE ESPERA,572.1
201869517,604.16,1385539,516.74,LISTA DE ESPERA,572.1
201869517,604.16,1385083,516.74,LISTA DE ESPERA,572.1
201869518,591.02,75082,451.06,LISTA DE ESPERA,534.34
201869518,591.02,107226,451.06,LISTA DE ESPERA,534.34
201869518,591.02,75082,451.06,LISTA DE ESPERA,534.34
201869519,752.34,1408509,723.96,LISTA DE ESPERA,736.58
201869519,752.34,5001314,723.96,LISTA DE ESPERA,736.58
201869521,620.92,18048,507.62,LISTA DE ESPERA,563.94
201869521,620.92,68243,507.62,LISTA DE ESPERA,563.94
201869521,620.92,1124,507.62,LISTA DE ESPERA,563.94
201869523,731.72,1397772,745.1,CONTRATADA,696.82
201869523,731.72,1390317,745.1,OPÇÃO NÃO CONTRATADA,696.82
201869523,731.72,1399479,745.1,OPÇÃO NÃO CONTRATADA,696.82
201869524,532.3,1366809,584.06,NÃO CONTRATADO,462.5
201869526,593.36,1321512,611.08,CONTRATADA,562.3
201869528,599.92,102756,593.42,LISTA DE ESPERA,576.4
201869529,602.46,1285155,535.88,PARTICIPACAO CANCELADA PELO CANDIDATO,578.24
201869530,615.74,1106422,522.46,CONTRATADA,451.0
201869532,563.68,19959,481.0,NÃO CONTRATADO,450.04
201869534,723.94,39415,716.76,NÃO CONTRATADO,715.66
201869535,560.58,1327479,649.54,CONTRATADA,450.04
201869536,728.48,1408259,695.2,LISTA DE ESPERA,721.18
201869537,554.36,64360,523.24,NÃO CONTRATADO,468.22
201869537,554.36,120818,523.24,NÃO CONTRATADO,468.22
201869537,554.36,4296,523.24,NÃO CONTRATADO,468.22
201869541,514.96,68941,515.18,CONTRATADA,450.62
201869541,514.96,68939,515.18,OPÇÃO NÃO CONTRATADA,450.62
201869541,514.96,109028,515.18,OPÇÃO NÃO CONTRATADA,450.62
201869542,593.12,20643,589.32,CONTRATADA,460.42
201869543,535.42,71305,615.72,CONTRATADA,451.3
201869544,552.8,1119432,516.48,NÃO CONTRATADO,450.0
201869544,552.8,54387,516.48,NÃO CONTRATADO,450.0
201869544,552.8,103265,516.48,NÃO CONTRATADO,450.0
201869545,731.52,100956,554.76,LISTA DE ESPERA,701.46
201869545,731.52,82224,554.76,LISTA DE ESPERA,701.46
201869546,581.72,1280521,586.22,NÃO CONTRATADO,493.76
201869546,581.72,34213,586.22,NÃO CONTRATADO,493.76
201869546,581.72,1387052,586.22,NÃO CONTRATADO,493.76
201869547,622.18,1177120,510.76,LISTA DE ESPERA,597.16
201869548,737.26,1399478,675.06,LISTA DE ESPERA,715.68
201869549,642.76,86726,581.48,LISTA DE ESPERA,494.28
201869549,642.76,86726,581.48,LISTA DE ESPERA,494.28
201869549,642.76,18841,581.48,LISTA DE ESPERA,494.28
201869550,731.72,1390317,627.14,LISTA DE ESPERA,696.82
201869550,731.72,1397771,627.14,LISTA DE ESPERA,696.82
201869550,731.72,1397772,627.14,LISTA DE ESPERA,696.82
201869551,598.54,95791,648.46,CONTRATADA,450.08
201869551,598.54,95791,648.46,OPÇÃO NÃO CONTRATADA,450.08
201869552,565.92,98348,539.3,NÃO CONTRATADO,532.92
201869552,565.92,16929,539.3,NÃO CONTRATADO,532.92
201869552,565.92,117176,539.3,NÃO CONTRATADO,532.92
201869554,562.4,106149,528.68,NÃO CONTRATADO,513.44
201869554,562.4,18342,528.68,NÃO CONTRATADO,513.44
201869554,562.4,48583,528.68,NÃO CONTRATADO,513.44
201869555,628.52,1205875,504.04,LISTA DE ESPERA,566.78
201869555,628.52,73530,504.04,LISTA DE ESPERA,566.78
201869555,628.52,1282869,504.04,LISTA DE ESPERA,566.78
201869556,573.4,63410,600.5,NÃO CONTRATADO,450.04
201869557,524.04,1261581,540.54,PARTICIPACAO CANCELADA PELO CANDIDATO,473.28
201869558,628.52,1261748,540.56,LISTA DE ESPERA,566.78
201869558,628.52,1280039,540.56,LISTA DE ESPERA,566.78
201869558,628.52,1261748,540.56,LISTA DE ESPERA,566.78
201869559,470.84,1214341,601.08,CONTRATADA,470.84
201869561,521.24,1282914,552.78,NÃO CONTRATADO,451.1
201869563,603.86,106022,541.62,PARTICIPACAO CANCELADA PELO CANDIDATO,535.32
201869563,603.86,100097,541.62,PARTICIPACAO CANCELADA PELO CANDIDATO,535.32
201869563,603.86,1114876,541.62,PARTICIPACAO CANCELADA PELO CANDIDATO,535.32
201869564,629.76,1385214,499.24,LISTA DE ESPERA,511.98
201869564,629.76,1385214,499.24,LISTA DE ESPERA,511.98
201869565,625.0,1279014,518.36,CONTRATADA,452.06
201869565,625.0,49349,518.36,OPÇÃO NÃO CONTRATADA,452.06
201869565,625.0,1279014,518.36,OPÇÃO NÃO CONTRATADA,452.06
201869567,573.8,74666,497.68,NÃO CONTRATADO,454.34
201869567,573.8,355103,497.68,NÃO CONTRATADO,454.34
201869567,573.8,4867,497.68,NÃO CONTRATADO,454.34
201869568,600.8,1349959,591.16,NÃO CONTRATADO,581.22
201869569,581.28,1310487,530.64,LISTA DE ESPERA,563.64
201869569,581.28,55336,530.64,LISTA DE ESPERA,563.64
201869569,581.28,1310487,530.64,LISTA DE ESPERA,563.64
201869570,590.3,54688,553.12,CONTRATADA,451.24
201869570,590.3,108588,553.12,OPÇÃO NÃO CONTRATADA,451.24
201869571,518.2,74042,527.88,NÃO CONTRATADO,455.0
201869573,576.54,89794,542.94,CONTRATADA,457.32
201869574,608.12,67989,622.2,NÃO CONTRATADO,527.66
201869574,608.12,867,622.2,NÃO CONTRATADO,527.66
201869576,722.6,57402,494.2,LISTA DE ESPERA,715.08
201869578,569.16,1107981,621.28,NÃO CONTRATADO,529.46
201869579,597.3,5000879,579.98,LISTA DE ESPERA,587.8
201869579,597.3,5000879,579.98,LISTA DE ESPERA,587.8
201869580,554.98,8587,619.32,NÃO CONTRATADO,521.0
201869581,742.86,90059,688.08,LISTA DE ESPERA,735.04
201869582,611.9,1405009,567.84,NÃO CONTRATADO,450.76
201869582,611.9,5000869,567.84,NÃO CONTRATADO,450.76
201869582,611.9,66203,567.84,NÃO CONTRATADO,450.76
201869583,733.4,8698,653.52,LISTA DE ESPERA,720.56
201869584,631.6,11221,623.0,PARTICIPACAO CANCELADA PELO CANDIDATO,512.22
201869584,631.6,112000,623.0,PARTICIPACAO CANCELADA PELO CANDIDATO,512.22
201869584,631.6,95500,623.0,PARTICIPACAO CANCELADA PELO CANDIDATO,512.22
201869586,547.16,66272,522.36,NÃO CONTRATADO,460.9
201869587,594.92,9228,501.18,LISTA DE ESPERA,569.68
201869588,450.12,1204896,562.98,CONTRATADA,450.12
201869589,612.38,1387914,526.7,PARTICIPACAO CANCELADA PELO CANDIDATO,611.52
201869591,722.6,57402,624.26,LISTA DE ESPERA,715.08
201869592,553.74,19584,526.28,NÃO CONTRATADO,484.94
201869592,553.74,19584,526.28,NÃO CONTRATADO,484.94
201869592,553.74,1284457,526.28,NÃO CONTRATADO,484.94
201869593,731.88,49060,650.2,LISTA DE ESPERA,718.98
201869594,731.72,1399479,585.6,LISTA DE ESPERA,696.82
201869594,731.72,1397772,585.6,LISTA DE ESPERA,696.82
201869594,731.72,1390317,585.6,LISTA DE ESPERA,696.82
201869595,636.92,73350,568.92,LISTA DE ESPERA,594.02
201869596,517.08,1353290,551.92,NÃO CONTRATADO,460.34
201869596,517.08,1203999,551.92,NÃO CONTRATADO,460.34
201869600,580.0,4966,577.5,PARTICIPACAO CANCELADA PELO CANDIDATO,453.58
201869600,580.0,111136,577.5,PARTICIPACAO CANCELADA PELO CANDIDATO,453.58
201869600,580.0,49897,577.5,PARTICIPACAO CANCELADA PELO CANDIDATO,453.58
201869601,582.82,90329,509.76,LISTA DE ESPERA,557.64
201869601,582.82,1258705,509.76,LISTA DE ESPERA,557.64
201869601,582.82,63082,509.76,LISTA DE ESPERA,557.64
201869602,631.38,11731,652.2,CONTRATADA,535.78
201869603,731.52,82224,723.08,CONTRATADA,701.46
201869604,529.82,10808,527.78,CONTRATADA,474.44
201869605,539.36,56382,528.2,NÃO CONTRATADO,492.86
201869605,539.36,56382,528.2,NÃO CONTRATADO,492.86
201869607,517.72,1258119,506.36,PARTICIPACAO CANCELADA PELO CANDIDATO,453.24
201869608,735.54,1188900,716.7,LISTA DE ESPERA,730.3
201869609,722.6,57402,658.0,LISTA DE ESPERA,715.08
201869611,616.58,1280809,572.3,LISTA DE ESPERA,560.42
201869613,723.94,39415,588.94,LISTA DE ESPERA,715.66
201869614,584.3,6485,524.18,LISTA DE ESPERA,563.62
201869614,584.3,6485,524.18,LISTA DE ESPERA,563.62
201869615,619.92,73054,524.78,NÃO CONTRATADO,454.48
201869616,574.0,1151647,611.1,CONTRATADA,450.64
201869616,574.0,105922,611.1,OPÇÃO NÃO CONTRATADA,450.64
201869616,574.0,105922,611.1,OPÇÃO NÃO CONTRATADA,450.64
201869617,584.18,71355,536.92,PARTICIPACAO CANCELADA PELO CANDIDATO,572.6
201869619,775.66,97679,728.68,LISTA DE ESPERA,766.76
201869620,743.04,1192188,607.18,LISTA DE ESPERA,736.06
201869621,517.86,1172595,474.22,LISTA DE ESPERA,487.8
201869622,551.44,110636,474.08,LISTA DE ESPERA,534.42
201869622,551.44,69174,474.08,LISTA DE ESPERA,534.42
201869622,551.44,1263989,474.08,LISTA DE ESPERA,534.42
201869623,519.74,1102416,519.74,NÃO CONTRATADO,468.4
201869623,519.74,1102416,519.74,NÃO CONTRATADO,468.4
201869623,519.74,117535,519.74,NÃO CONTRATADO,468.4
201869624,616.86,1279369,515.86,LISTA DE ESPERA,501.02
201869624,616.86,102173,515.86,LISTA DE ESPERA,501.02
201869624,616.86,98206,515.86,LISTA DE ESPERA,501.02
201869625,722.6,57402,636.0,LISTA DE ESPERA,715.08
201869626,630.12,9263,571.0,CONTRATADA,561.7
201869626,630.12,64587,571.0,OPÇÃO NÃO CONTRATADA,561.7
201869626,630.12,9263,571.0,OPÇÃO NÃO CONTRATADA,561.7
201869627,730.36,1399477,593.98,LISTA DE ESPERA,714.02
201869627,730.36,1399483,593.98,LISTA DE ESPERA,714.02
201869628,747.74,108882,749.7,NÃO CONTRATADO,738.06
201869629,737.0,1050663,646.62,LISTA DE ESPERA,726.0
201869630,557.5,1260157,510.32,NÃO CONTRATADO,460.96
201869630,557.5,1259458,510.32,NÃO CONTRATADO,460.96
201869630,557.5,58816,510.32,NÃO CONTRATADO,460.96
201869631,767.26,1104264,729.98,LISTA DE ESPERA,753.12
201869633,591.34,20836,621.76,NÃO CONTRATADO,546.48
201869633,591.34,39005,621.76,NÃO CONTRATADO,546.48
201869634,769.94,20249,696.08,LISTA DE ESPERA,754.02
201869635,736.02,7414,737.22,CONTRATADA,724.9
201869636,602.78,6488,488.52,LISTA DE ESPERA,580.14
201869636,602.78,1314237,488.52,LISTA DE ESPERA,580.14
201869636,602.78,6488,488.52,LISTA DE ESPERA,580.14
201869639,558.68,1364368,463.5,PARTICIPACAO CANCELADA PELO CANDIDATO,451.1
201869641,753.94,9772,614.28,LISTA DE ESPERA,729.74
201869642,763.86,1185903,694.04,LISTA DE ESPERA,733.1
201869642,763.86,19850,694.04,LISTA DE ESPERA,733.1
201869642,763.86,5000933,694.04,LISTA DE ESPERA,733.1
201869646,729.0,1173014,708.58,LISTA DE ESPERA,712.14
201869647,631.38,8266,505.26,LISTA DE ESPERA,584.58
201869647,631.38,8266,505.26,LISTA DE ESPERA,584.58
201869647,631.38,8266,505.26,LISTA DE ESPERA,584.58
201869647,631.38,8266,505.26,LISTA DE ESPERA,584.58
201869649,518.86,1353968,515.54,CONTRATADA,484.9
201869649,518.86,1353968,515.54,OPÇÃO NÃO CONTRATADA,484.9
201869649,518.86,1349791,515.54,OPÇÃO NÃO CONTRATADA,484.9
201869650,547.92,32532,530.76,CONTRATADA,459.76
201869651,666.08,7773,674.64,CONTRATADA,648.42
201869652,641.72,105920,606.34,NÃO CONTRATADO,496.9
201869652,641.72,105920,606.34,NÃO CONTRATADO,496.9
201869653,739.08,1185025,601.82,LISTA DE ESPERA,724.06
201869655,742.74,5000930,672.68,LISTA DE ESPERA,731.4
201869655,742.74,1059179,672.68,LISTA DE ESPERA,731.4
201869656,617.24,1367045,514.94,LISTA DE ESPERA,592.44
201869657,731.52,82224,758.34,LISTA DE ESPERA,701.46
201869658,588.48,1467854,493.34,LISTA DE ESPERA,531.96
201869658,588.48,1496346,493.34,LISTA DE ESPERA,531.96
201869658,588.48,1383455,493.34,LISTA DE ESPERA,531.96
201869660,556.46,16664,604.82,NÃO CONTRATADO,451.08
201869660,556.46,1396762,604.82,NÃO CONTRATADO,451.08
201869661,564.76,4959,475.78,NÃO CONTRATADO,451.52
201869663,726.8,6496,708.8,LISTA DE ESPERA,719.56
201869664,580.0,4966,461.98,NÃO CONTRATADO,453.58
201869665,608.12,1322318,478.6,LISTA DE ESPERA,527.66
201869665,608.12,1069967,478.6,LISTA DE ESPERA,527.66
201869665,608.12,67989,478.6,LISTA DE ESPERA,527.66
201869668,602.24,1420139,625.7,CONTRATADA,574.42
201869669,666.08,7773,561.98,LISTA DE ESPERA,648.42
201869669,666.08,7773,561.98,LISTA DE ESPERA,648.42
201869670,548.12,81113,490.14,NÃO CONTRATADO,450.16
201869670,548.12,20110,490.14,NÃO CONTRATADO,450.16
201869670,548.12,82227,490.14,NÃO CONTRATADO,450.16
201869671,775.28,84408,709.02,LISTA DE ESPERA,767.48
201869671,775.28,108884,709.02,LISTA DE ESPERA,767.48
201869672,596.42,101104,508.44,NÃO CONTRATADO,464.18
201869673,762.98,2304,718.4,LISTA DE ESPERA,749.82
201869674,762.98,2304,658.3,LISTA DE ESPERA,749.82
201869676,568.44,104478,532.2,LISTA DE ESPERA,545.96
201869676,568.44,47706,532.2,LISTA DE ESPERA,545.96
201869676,568.44,98746,532.2,LISTA DE ESPERA,545.96
201869677,535.38,1258417,500.9,NÃO CONTRATADO,453.12
201869677,535.38,20032,500.9,NÃO CONTRATADO,453.12
201869677,535.38,1113471,500.9,NÃO CONTRATADO,453.12
201869678,754.78,5206,714.52,LISTA DE ESPERA,737.62
201869679,726.8,6496,679.28,LISTA DE ESPERA,719.56
201869680,621.46,29980,663.98,CONTRATADA,583.56
201869680,621.46,1322652,663.98,OPÇÃO NÃO CONTRATADA,583.56
201869681,601.84,108384,457.62,LISTA DE ESPERA,504.18
201869681,601.84,15338,457.62,LISTA DE ESPERA,504.18
201869682,732.2,1399481,719.46,LISTA DE ESPERA,728.82
201869683,731.52,100956,615.98,LISTA DE ESPERA,701.46
201869685,618.5,88640,504.68,LISTA DE ESPERA,595.64
201869685,618.5,1322356,504.68,LISTA DE ESPERA,595.64
201869687,588.48,1383454,468.46,LISTA DE ESPERA,531.96
201869687,588.48,1374864,468.46,LISTA DE ESPERA,531.96
201869687,588.48,1467854,468.46,LISTA DE ESPERA,531.96
